SKU,名称,月份,老表销售额,重算销售额,老表毛利,重算毛利,差异,差异原因
SP037,品味人生爆珠槟榔10元,2026-07,,148.00,,43.00,,"老表不分月,无对应月度数"
SP037,品味人生爆珠槟榔10元,合计,148.00,148.00,43.00,43.00,+0.00,一致(<1%)
SP038,咖啡王10元,2026-07,,68.60,,19.60,,"老表不分月,无对应月度数"
SP038,咖啡王10元,合计,68.60,68.60,19.60,19.60,-0.00,一致(<1%)
SP039,双汇蒜香烤肠,2026-07,,257.80,,140.31,,"老表不分月,无对应月度数"
SP039,双汇蒜香烤肠,合计,257.80,257.80,138.41,140.31,+1.90,"多批进价不同:重算=移动加权,老表=全期加权;负库存:销量>入库量,移动加权沿用最近均价"
SP040,布鲁托牛乳焗肉松面包,2026-06,,4.00,,1.39,,"老表不分月,无对应月度数"
SP040,布鲁托牛乳焗肉松面包,2026-07,,146.90,,47.88,,"老表不分月,无对应月度数"
SP040,布鲁托牛乳焗肉松面包,合计,150.90,150.90,49.27,49.27,+0.00,"多批进价不同:重算=移动加权,老表=全期加权;负库存:销量>入库量,移动加权沿用最近均价"
SP041,盼盼爆浆面包,2026-06,,4.00,,1.55,,"老表不分月,无对应月度数"
SP041,盼盼爆浆面包,2026-07,,121.00,,45.04,,"老表不分月,无对应月度数"
SP041,盼盼爆浆面包,合计,125.00,125.00,46.59,46.59,-0.00,"多批进价不同:重算=移动加权,老表=全期加权"
SP042,乡巴佬大鸭腿盐焗味,2026-07,,131.00,,79.07,,"老表不分月,无对应月度数"
SP042,乡巴佬大鸭腿盐焗味,合计,131.00,131.00,79.07,79.07,-0.00,"负库存:销量>入库量,移动加权沿用最近均价"
SP043,贤哥五香蛋,2026-07,,188.80,,90.24,,"老表不分月,无对应月度数"
SP043,贤哥五香蛋,合计,188.80,188.80,90.24,90.24,+0.00,一致(<1%)
SP044,爱乡亲唱片面包,2026-06,,7.00,,3.67,,"老表不分月,无对应月度数"
SP044,爱乡亲唱片面包,2026-07,,230.20,,98.79,,"老表不分月,无对应月度数"
SP044,爱乡亲唱片面包,合计,237.20,237.20,123.31,102.47,-20.85,"多批进价不同:重算=移动加权,老表=全期加权;负库存:销量>入库量,移动加权沿用最近均价"
SP045,三明治面包,2026-07,,108.00,,56.70,,"老表不分月,无对应月度数"
SP045,三明治面包,合计,108.00,108.00,56.70,56.70,-0.00,一致(<1%)
SP046,名厨蜜汁可乐/名厨蜜汁可乐鸭翅根/名厨香辣味鸭翅根,2026-07,,106.50,,56.39,,"老表不分月,无对应月度数"
SP046,名厨蜜汁可乐/名厨蜜汁可乐鸭翅根/名厨香辣味鸭翅根,合计,106.50,106.50,57.34,56.39,-0.94,"老表成本单价1.0925挂错(实为SP069的加权价),按采购表应为1.1033;一码多品:该编码挂了多个商品,成本为混合价(老表编码错误);多批进价不同:重算=移动加权,老表=全期加权"
SP047,谷焙奇沙琪玛,2026-07,,172.40,,110.41,,"老表不分月,无对应月度数"
SP047,谷焙奇沙琪玛,合计,172.40,172.40,114.55,110.41,-4.15,"多批进价不同:重算=移动加权,老表=全期加权;负库存:销量>入库量,移动加权沿用最近均价"
SP048,客必乐鸭翅根盐焗.香辣味,2026-07,,132.00,,81.78,,"老表不分月,无对应月度数"
SP048,客必乐鸭翅根盐焗.香辣味,合计,132.00,132.00,85.77,81.78,-3.99,"多批进价不同:重算=移动加权,老表=全期加权;负库存:销量>入库量,移动加权沿用最近均价"
SP049,乡巴佬大鸭腿盐焗味.香辣味,2026-07,,122.60,,74.71,,"老表不分月,无对应月度数"
SP049,乡巴佬大鸭腿盐焗味.香辣味,合计,122.60,122.60,75.79,74.71,-1.09,"多批进价不同:重算=移动加权,老表=全期加权"
SP050,陈村火鸡面,2026-07,,17.60,,7.20,,"老表不分月,无对应月度数"
SP050,陈村火鸡面,合计,17.60,17.60,7.20,7.20,+0.00,一致(<1%)
SP051,陈村过桥米线酸辣味,2026-07,,75.60,,29.45,,"老表不分月,无对应月度数"
SP051,陈村过桥米线酸辣味,合计,75.60,75.60,29.45,29.45,-0.00,一致(<1%)
SP052,汤达人日式豚骨味,2026-07,,29.80,,7.55,,"老表不分月,无对应月度数"
SP052,汤达人日式豚骨味,合计,29.80,29.80,7.55,7.55,-0.00,一致(<1%)
SP053,吞食兽酸辣粉,2026-06,,5.00,,2.12,,"老表不分月,无对应月度数"
SP053,吞食兽酸辣粉,2026-07,,9.60,,3.84,,"老表不分月,无对应月度数"
SP053,吞食兽酸辣粉,合计,14.60,14.60,5.97,5.97,-0.00,一致(<1%)
SP054,漫花抽纸,2026-07,,153.00,,96.48,,"老表不分月,无对应月度数"
SP054,漫花抽纸,合计,153.00,153.00,96.48,96.48,-0.00,一致(<1%)
SP055,洁柔手帕纸,2026-07,,95.00,,57.32,,"老表不分月,无对应月度数"
SP055,洁柔手帕纸,合计,95.00,95.00,57.32,57.32,-0.00,一致(<1%)
SP056,布鲁托蛋皮能量卷面包,2026-07,,70.70,,28.87,,"老表不分月,无对应月度数"
SP056,布鲁托蛋皮能量卷面包,合计,70.70,70.70,28.87,28.87,+0.00,一致(<1%)
SP057,出鲜轻咸肉松派面包,2026-07,,44.00,,23.31,,"老表不分月,无对应月度数"
SP057,出鲜轻咸肉松派面包,合计,44.00,44.00,23.31,23.31,-0.00,一致(<1%)
SP058,出鲜厚乳双芯面包,2026-07,,219.80,,111.91,,"老表不分月,无对应月度数"
SP058,出鲜厚乳双芯面包,合计,219.80,219.80,119.63,111.91,-7.72,"多批进价不同:重算=移动加权,老表=全期加权;负库存:销量>入库量,移动加权沿用最近均价"
SP059,哈兰德肉松卷面包,2026-06,,5.00,,2.05,,"老表不分月,无对应月度数"
SP059,哈兰德肉松卷面包,2026-07,,92.20,,36.15,,"老表不分月,无对应月度数"
SP059,哈兰德肉松卷面包,合计,97.20,97.20,38.20,38.20,+0.00,一致(<1%)
SP060,康师傅一倍半酸菜牛肉面,2026-06,,6.50,,3.22,,"老表不分月,无对应月度数"
SP060,康师傅一倍半酸菜牛肉面,2026-07,,71.10,,34.96,,"老表不分月,无对应月度数"
SP060,康师傅一倍半酸菜牛肉面,合计,77.60,77.60,38.00,38.18,+0.18,"多批进价不同:重算=移动加权,老表=全期加权"
SP061,康师傅一倍半香辣牛肉面,2026-06,,6.50,,3.26,,"老表不分月,无对应月度数"
SP061,康师傅一倍半香辣牛肉面,2026-07,,64.40,,31.98,,"老表不分月,无对应月度数"
SP061,康师傅一倍半香辣牛肉面,合计,70.90,70.90,35.24,35.24,+0.00,一致(<1%)
SP062,康师傅一倍半红烧牛肉面,2026-06,,6.50,,3.18,,"老表不分月,无对应月度数"
SP062,康师傅一倍半红烧牛肉面,2026-07,,50.00,,20.06,,"老表不分月,无对应月度数"
SP062,康师傅一倍半红烧牛肉面,合计,56.50,56.50,23.22,23.24,+0.01,"多批进价不同:重算=移动加权,老表=全期加权"
SP065,焕神1L,2026-07,,20.40,,7.27,,"老表不分月,无对应月度数"
SP065,焕神1L,合计,20.40,20.40,7.28,7.27,-0.00,一致(<1%)
SP068,"名厨香辣味烤鸭翅根(仅销售名,无采购记录)",2026-07,,72.30,,39.53,,"老表不分月,无对应月度数"
SP068,"名厨香辣味烤鸭翅根(仅销售名,无采购记录)",合计,72.30,72.30,0.00,39.53,+39.53,"老表成本#N/A未计毛利;老表成本#N/A(SP068无采购记录);重算用SP069同品成本代理;负库存:销量>入库量,移动加权沿用最近均价"
